id,name
0,a-bomb
1,abe sapien
2,abin sur
3,abomination
4,abraxas
5,absorbing man
6,adam monroe
7,adam strange
9,agent bob
10,agent zero
11,air-walker
12,ajax
13,alan scott
14,alex mercer
15,alex woolsly
16,alfred pennyworth
17,alien
18,allan quatermain
19,amazo
20,ammo
21,ando masahashi
22,angel
23,angel
27,animal man
28,annihilus
29,ant-man
30,ant-man ii
31,anti-monitor
32,anti-spawn
33,anti-venom
34,apocalypse
35,aquababy
36,aqualad
37,aquaman
39,archangel
42,ares
45,arsenal
46,astro boy
47,atlas
48,atlas
49,atom
50,atom
52,atom ii
53,atom iii
54,atom iv
56,azazel
57,azrael
58,aztar
59,bane
60,banshee
61,bantam
68,batman
69,batman
70,batman ii
71,battlestar
73,beak
74,beast
75,beast boy
76,beetle
77,ben 10
78,beta ray bill
79,beyonder
81,big daddy
82,big man
83,bill harken
84,billy kincaid
88,bird-man
89,bird-man ii
90,birdman
91,bishop
92,bizarro
93,black abbott
94,black adam
95,black bolt
99,black flash
100,black goliath
101,black knight iii
102,black lightning
104,black manta
105,black panther
108,blackout
109,blackwing
110,blackwulf
111,blade
115,blizzard
116,blizzard
117,blizzard ii
118,blob
120,bloodhawk
121,bloodwraith
122,blue beetle
123,blue beetle
124,blue beetle ii
125,blue beetle iii
126,boba fett
127,bolt
131,booster gold
132,box
135,brainiac
136,brainiac 5
137,brother voodoo
138,brundlefly
140,bullseye
142,bumbleboy
143,bushido
144,cable
146,cameron hicks
147,cannonball
148,captain america
149,captain atom
150,captain britain
151,captain cold
152,captain epic
153,captain hindsight
154,captain mar-vell
156,captain marvel
157,captain marvel ii
158,captain midnight
159,captain planet
161,carnage
166,century
168,chamber
169,chameleon
170,changeling
174,chromos
175,chuck norris
176,citizen steel
179,cloak
180,clock king
181,cogliostro
182,colin wagner
183,colossal boy
184,colossus
186,corsair
187,cottonmouth
188,crimson crusader
189,crimson dynamo
191,curse
192,cy-gor
193,cyborg
194,cyborg superman
195,cyclops
198,danny cooper
200,daredevil
201,darkhawk
202,darkman
203,darkseid
206,darth maul
207,darth vader
208,dash
209,data
211,deadman
212,deadpool
213,deadshot
214,deathlok
215,deathstroke
216,demogoblin
217,destroyer
218,diamondback
219,dl hawkins
220,doc samson
221,doctor doom
222,doctor doom ii
223,doctor fate
224,doctor octopus
225,doctor strange
227,donatello
229,doomsday
230,doppelganger
231,dormammu
232,dr manhattan
233,drax the destroyer
236,electro
239,elongated man
243,erg-1
244,ethan hunt
245,etrigan
246,evil deadpool
247,evilhawk
248,exodus
250,falcon
251,fallen one ii
255,fin fang foom
259,firestorm
260,firestorm
262,flash
263,flash gordon
264,flash ii
265,flash iii
266,flash iv
268,franklin richards
272,galactus
273,gambit
275,garbage man
276,gary bell
277,general zod
278,genesis
279,ghost rider
281,giant-man
282,giant-man ii
284,gladiator
287,gog
288,goku
289,goliath
290,goliath
291,goliath
292,goliath iv
293,gorilla grodd
295,gravity
296,greedo
297,green arrow
298,green goblin
299,green goblin ii
300,green goblin iii
301,green goblin iv
302,groot
303,guardian
304,guy gardner
305,hal jordan
306,han solo
307,hancock
309,harry potter
310,havok
311,hawk
312,hawkeye
315,hawkman
319,heat wave
321,hellboy
323,hellstorm
324,hercules
325,hiro nakamura
327,hobgoblin
330,howard the duck
331,hulk
332,human torch
335,hybrid
336,hydro-man
337,hyperion
338,iceman
339,impulse
340,indiana jones
342,ink
344,iron fist
345,iron man
346,iron monger
348,jack bauer
349,jack of hearts
350,jack-jack
351,james bond
352,james t. kirk
353,jar jar binks
354,jason bourne
356,jean-luc picard
362,jigsaw
363,jim powell
364,jj powell
365,johann krauss
366,john constantine
367,john stewart
368,john wraith
369,joker
372,judge dredd
373,juggernaut
374,junkpile
375,justice
377,k-2so
378,kang
379,karate kid
382,kevin 11
383,kick-ass
384,kid flash
385,kid flash ii
386,killer croc
388,kilowog
389,king kong
390,king shark
391,kingpin
392,klaw
393,kool-aid man
394,kraven ii
395,kraven the hunter
396,krypto
397,kyle rayner
398,kylo ren
401,leader
402,leech
403,legion
404,leonardo
405,lex luthor
407,lightning lad
408,lightning lord
412,lizard
413,lobo
414,loki
415,longshot
416,luke cage
417,luke campbell
418,luke skywalker
421,mach-iv
423,magneto
424,magog
425,magus
427,man-bat
428,man-thing
429,man-wolf
430,mandarin
432,martian manhunter
434,master brood
435,master chief
436,match
437,matt parkman
438,maverick
443,mephisto
445,metallo
446,metamorpho
448,metron
449,micah sanders
450,michelangelo
451,micro lad
452,mimic
456,mister fantastic
457,mister freeze
458,mister knife
459,mister mxyzptlk
460,mister sinister
461,mister zsasz
463,modok
464,mogo
465,mohinder suresh
466,moloch
467,molten man
468,monarch
470,moon knight
472,morlun
473,morph
474,moses magnum
475,mr immortal
476,mr incredible
478,multiple man
479,mysterio
481,namor
482,namor
485,naruto uzumaki
486,nathan petrelli
489,nick fury
490,nightcrawler
491,nightwing
494,nite owl ii
495,northstar
496,nova
498,odin
499,offspring
500,omega red
501,omniscient
502,one punch man
504,onslaught
506,osiris
507,overtkill
508,ozymandias
510,paul blart
513,penance ii
514,penguin
515,peter petrelli
516,phantom
519,plantman
520,plastic lad
521,plastic man
526,power man
527,predator
528,professor x
529,professor zoom
530,proto-goblin
532,punisher
533,purple man
534,pyro
535,q
536,quantum
537,question
538,quicksilver
539,quill
540,ra's al ghul
542,rambo
543,raphael
545,ray
546,razor-fist ii
547,red arrow
548,red hood
549,red hulk
550,red mist
551,red robin
552,red skull
553,red tornado
554,redeemer ii
555,redeemer iii
558,rhino
559,rick flag
