"","Estado","Populacao"
"5","Alagoas",2822621
"11","Amazonas",2812557
"14","Bahia",13032225
"17","Ceará",7417734
"20","Distrito Federal",2051146
"23","Espírito Santo",3097232
"26","Goiás",5003228
"29","Maranhão",5651475
"32","Mato Grosso",2434363
"35","Mato Grosso do Sul",2048517
"38","Minas Gerais",17881685
"41","Pará",6192307
"44","Paraíba",3412721
"47","Paraná",9242273
"50","Pernambuco",7877964
"53","Piauí",2843278
"56","Rio de Janeiro",14391282
"59","Rio Grande do Norte",2757430
"62","Rio Grande do Sul",10091914
"65","Rondônia",1379787
"71","Santa Catarina",5343289
"74","São Paulo",37032403
"77","Sergipe",1672932
"80","Tocantins",1101728
