Estado;Ano;Populacao
Acre;1990;417718
Acre;2000;557526
Acre;2010;732793
Alagoas;1990;2514100
Alagoas;2000;2822621
Alagoas;2010;3120922
Amapá;1990;570719
Amapá;2000;473023
Amapá;2010;668689
Amazonas;1990;2103243
Amazonas;2000;2812557
Amazonas;2010;3480937
Bahia;1990;11833646
Bahia;2000;13032225
Bahia;2010;14021432
Ceará;1990;6356456
Ceará;2000;7417734
Ceará;2010;8448055
Distrito Federal;1990;1601094
Distrito Federal;2000;2051146
Distrito Federal;2010;2562963
Espírito Santo;1990;2600618
Espírito Santo;2000;3097232
Espírito Santo;2010;3512672
Goiás;1990;4018903
Goiás;2000;5003228
Goiás;2010;6004045
Maranhão;1990;4898674
Maranhão;2000;5651475
Maranhão;2010;6569683
Mato Grosso;1990;1981730
Mato Grosso;2000;2434363
Mato Grosso;2010;3033991
Mato Grosso do Sul;1990;1746451
Mato Grosso do Sul;2000;2048517
Mato Grosso do Sul;2010;2449341
Minas Gerais;1990;15677838
Minas Gerais;2000;17881685
Minas Gerais;2010;19595309
Pará;1990;4950060
Pará;2000;6192307
Pará;2010;7588078
Paraíba;1990;3201114
Paraíba;2000;3412721
Paraíba;2010;3766834
Paraná;1990;8448713
Paraná;2000;9242273
Paraná;2010;10439601
Pernambuco;1990;7076739
Pernambuco;2000;7877964
Pernambuco;2010;8796032
Piauí;1990;2582137
Piauí;2000;2843278
Piauí;2010;3119015
Rio de Janeiro;1990;12773138
Rio de Janeiro;2000;14391282
Rio de Janeiro;2010;15993583
Rio Grande do Norte;1990;2415567
Rio Grande do Norte;2000;2757430
Rio Grande do Norte;2010;3168133
Rio Grande do Sul;1990;9041731
Rio Grande do Sul;2000;10091914
Rio Grande do Sul;2010;10695532
Rondônia;1990;1132692
Rondônia;2000;1379787
Rondônia;2010;1560501
Roraima;1990;217583
Roraima;2000;324397
Roraima;2010;451227
Santa Catarina;1990;4490021
Santa Catarina;2000;5343289
Santa Catarina;2010;6249682
São Paulo;1990;31118349
São Paulo;2000;37032403
São Paulo;2010;41252160
Sergipe;1990;1491876
Sergipe;2000;1672932
Sergipe;2010;2068031
Tocantins;1990;909399
Tocantins;2000;1101728
Tocantins;2010;1383453
