"childID" "child" "house" "street" "district" "town" "response" "gender"
"1" 1 1 "door1" 1 "A" "Leeds" 83.8877299675771 "male"
"2" 1 1 "door2" 1 "A" "Leeds" 99.9629424723822 "male"
"3" 1 3 "door3" 1 "A" "Leeds" 87.2025322048838 "female"
"4" 2 3 "door3" 1 "A" "Leeds" 89.3766522275615 "male"
"5" 3 3 "door3" 1 "A" "Leeds" 92.0175136067954 "female"
"6" 1 5 "door4" 1 "A" "Leeds" 87.12671647224 "female"
"7" 2 5 "door4" 1 "A" "Leeds" 98.3664245834205 "female"
"8" 3 5 "door4" 1 "A" "Leeds" 74.4725371329807 "female"
"9" 4 5 "door4" 1 "A" "Leeds" 101.992833210988 "female"
"10" 5 5 "door4" 1 "A" "Leeds" 93.8792903920501 "female"
"11" 1 3 "door1" 2 "A" "Leeds" 88.4137144780676 "female"
"12" 2 3 "door1" 2 "A" "Leeds" 79.264556315611 "male"
"13" 3 3 "door1" 2 "A" "Leeds" 87.2267338449652 "female"
"14" 1 4 "door2" 2 "A" "Leeds" 91.0529444907175 "male"
"15" 2 4 "door2" 2 "A" "Leeds" 86.3269617711868 "male"
"16" 3 4 "door2" 2 "A" "Leeds" 98.8784753076203 "female"
"17" 4 4 "door2" 2 "A" "Leeds" 100.281338074733 "female"
"18" 1 5 "door3" 2 "A" "Leeds" 92.8262959062059 "female"
"19" 2 5 "door3" 2 "A" "Leeds" 74.3321290061914 "female"
"20" 3 5 "door3" 2 "A" "Leeds" 77.4579810544663 "male"
"21" 4 5 "door3" 2 "A" "Leeds" 84.0230600537519 "male"
"22" 5 5 "door3" 2 "A" "Leeds" 91.3083229868917 "male"
"23" 1 1 "door4" 2 "A" "Leeds" 86.4458079445132 "female"
"24" 1 1 "door1" 3 "A" "Leeds" 92.9470033605087 "male"
"25" 1 2 "door2" 3 "A" "Leeds" 87.2646412659049 "male"
"26" 2 2 "door2" 3 "A" "Leeds" 92.239832756506 "male"
"27" 1 3 "door3" 3 "A" "Leeds" 99.9007586940479 "female"
"28" 2 3 "door3" 3 "A" "Leeds" 93.6613961812884 "male"
"29" 3 3 "door3" 3 "A" "Leeds" 88.0617696363412 "female"
"30" 1 4 "door4" 3 "A" "Leeds" 99.3754984802807 "male"
"31" 2 4 "door4" 3 "A" "Leeds" 97.3588605706108 "female"
"32" 3 4 "door4" 3 "A" "Leeds" 85.3691891693692 "male"
"33" 4 4 "door4" 3 "A" "Leeds" 98.0045318231467 "female"
