count farm field block quadrat
1 1 1 1 1 1
2 0 1 1 1 1
3 0 1 1 1 1
4 1 1 1 1 1
5 1 1 1 1 1
6 0 1 1 1 1
7 0 1 1 1 1
8 1 1 1 1 1
9 0 1 1 1 1
10 1 1 1 1 1
11 3 1 1 1 2
12 0 1 1 1 2
13 0 1 1 1 2
14 1 1 1 1 2
15 0 1 1 1 2
16 0 1 1 1 2
17 0 1 1 1 2
18 0 1 1 1 2
19 0 1 1 1 2
20 0 1 1 1 2
21 0 1 1 2 1
22 1 1 1 2 1
23 2 1 1 2 1
24 2 1 1 2 1
25 0 1 1 2 1
26 0 1 1 2 1
27 0 1 1 2 1
28 0 1 1 2 1
29 0 1 1 2 1
30 0 1 1 2 1
31 0 1 1 2 2
32 0 1 1 2 2
33 1 1 1 2 2
34 0 1 1 2 2
35 0 1 1 2 2
36 0 1 1 2 2
37 0 1 1 2 2
38 0 1 1 2 2
39 1 1 1 2 2
40 2 1 1 2 2
41 1 1 1 3 1
42 0 1 1 3 1
43 0 1 1 3 1
44 1 1 1 3 1
45 0 1 1 3 1
46 0 1 1 3 1
47 1 1 1 3 1
48 0 1 1 3 1
49 0 1 1 3 1
50 0 1 1 3 1
51 0 1 1 3 2
52 0 1 1 3 2
53 0 1 1 3 2
54 1 1 1 3 2
55 0 1 1 3 2
56 0 1 1 3 2
57 0 1 1 3 2
58 0 1 1 3 2
59 1 1 1 3 2
60 1 1 1 3 2
61 0 1 2 1 1
62 0 1 2 1 1
63 0 1 2 1 1
64 0 1 2 1 1
65 0 1 2 1 1
66 0 1 2 1 1
67 0 1 2 1 1
68 0 1 2 1 1
69 0 1 2 1 1
70 2 1 2 1 1
71 1 1 2 1 2
72 1 1 2 1 2
73 6 1 2 1 2
74 2 1 2 1 2
75 0 1 2 1 2
76 0 1 2 1 2
77 1 1 2 1 2
78 1 1 2 1 2
79 0 1 2 1 2
80 2 1 2 1 2
81 0 1 2 2 1
82 1 1 2 2 1
83 0 1 2 2 1
84 0 1 2 2 1
85 0 1 2 2 1
86 0 1 2 2 1
87 0 1 2 2 1
88 0 1 2 2 1
89 0 1 2 2 1
90 0 1 2 2 1
91 0 1 2 2 2
92 1 1 2 2 2
93 0 1 2 2 2
94 0 1 2 2 2
95 0 1 2 2 2
96 0 1 2 2 2
97 0 1 2 2 2
98 0 1 2 2 2
99 0 1 2 2 2
100 0 1 2 2 2
101 0 1 2 3 1
102 0 1 2 3 1
103 0 1 2 3 1
104 0 1 2 3 1
105 0 1 2 3 1
106 0 1 2 3 1
107 1 1 2 3 1
108 0 1 2 3 1
109 2 1 2 3 1
110 2 1 2 3 1
111 0 1 2 3 2
112 0 1 2 3 2
113 2 1 2 3 2
114 1 1 2 3 2
115 0 1 2 3 2
116 0 1 2 3 2
117 1 1 2 3 2
118 1 1 2 3 2
119 0 1 2 3 2
120 0 1 2 3 2
121 2 1 3 1 1
122 0 1 3 1 1
123 0 1 3 1 1
124 0 1 3 1 1
125 0 1 3 1 1
126 0 1 3 1 1
127 1 1 3 1 1
128 1 1 3 1 1
129 0 1 3 1 1
130 1 1 3 1 1
131 0 1 3 1 2
132 0 1 3 1 2
133 0 1 3 1 2
134 1 1 3 1 2
135 0 1 3 1 2
136 0 1 3 1 2
137 1 1 3 1 2
138 1 1 3 1 2
139 0 1 3 1 2
140 0 1 3 1 2
141 0 1 3 2 1
142 0 1 3 2 1
143 1 1 3 2 1
144 1 1 3 2 1
145 0 1 3 2 1
146 0 1 3 2 1
147 1 1 3 2 1
148 0 1 3 2 1
149 0 1 3 2 1
150 0 1 3 2 1
151 1 1 3 2 2
152 0 1 3 2 2
153 0 1 3 2 2
154 0 1 3 2 2
155 0 1 3 2 2
156 0 1 3 2 2
157 0 1 3 2 2
158 0 1 3 2 2
159 0 1 3 2 2
160 0 1 3 2 2
161 0 1 3 3 1
162 0 1 3 3 1
163 2 1 3 3 1
164 1 1 3 3 1
165 0 1 3 3 1
166 1 1 3 3 1
167 7 1 3 3 1
168 0 1 3 3 1
169 0 1 3 3 1
170 3 1 3 3 1
171 0 1 3 3 2
172 0 1 3 3 2
173 0 1 3 3 2
174 1 1 3 3 2
175 0 1 3 3 2
176 0 1 3 3 2
177 0 1 3 3 2
178 0 1 3 3 2
179 0 1 3 3 2
180 0 1 3 3 2
181 1 1 4 1 1
182 1 1 4 1 1
183 0 1 4 1 1
184 0 1 4 1 1
185 0 1 4 1 1
186 0 1 4 1 1
187 1 1 4 1 1
188 0 1 4 1 1
189 2 1 4 1 1
190 1 1 4 1 1
191 0 1 4 1 2
