"Growth.rate" "Water" "Detergent" "Daphnia" "pH"
"1" 2.919085587 "Tyne" "BrandA" "Clone1" 4.52170597738586
"2" 2.49290403 "Tyne" "BrandA" "Clone1" 5.32587804226205
"3" 3.021804251 "Tyne" "BrandA" "Clone1" 4.64926157100126
"4" 2.350874335 "Tyne" "BrandA" "Clone2" 4.83904583589174
"5" 3.148173559 "Tyne" "BrandA" "Clone2" 5.14029330061749
"6" 4.423852931 "Tyne" "BrandA" "Clone2" 4.81937325722538
"7" 4.870958803 "Tyne" "BrandA" "Clone3" 4.87672615982592
"8" 3.897731347 "Tyne" "BrandA" "Clone3" 4.62754590017721
"9" 5.830881925 "Tyne" "BrandA" "Clone3" 5.15534531092271
"10" 2.3027171 "Tyne" "BrandB" "Clone1" 5.36307150567882
"11" 3.195969626 "Tyne" "BrandB" "Clone1" 5.26469402434304
"12" 2.829021095 "Tyne" "BrandB" "Clone1" 4.63583909464069
"13" 3.027499621 "Tyne" "BrandB" "Clone2" 5.42494523478672
"14" 5.285108403 "Tyne" "BrandB" "Clone2" 5.27116066357121
"15" 4.260954913 "Tyne" "BrandB" "Clone2" 4.53501770412549
"16" 4.049527754 "Tyne" "BrandB" "Clone3" 5.46321597555652
"17" 4.623400317 "Tyne" "BrandB" "Clone3" 4.77947972435504
"18" 5.625844909 "Tyne" "BrandB" "Clone3" 4.65674631483853
"19" 2.634182102 "Tyne" "BrandC" "Clone1" 4.91622186847962
"20" 3.513746393 "Tyne" "BrandC" "Clone1" 4.78893169714138
"21" 3.714657446 "Tyne" "BrandC" "Clone1" 4.53373565827496
"22" 3.862106084 "Tyne" "BrandC" "Clone2" 4.67115954472683
"23" 3.955181039 "Tyne" "BrandC" "Clone2" 4.8922433978878
"24" 3.044307782 "Tyne" "BrandC" "Clone2" 5.41227296786383
"25" 3.358051334 "Tyne" "BrandC" "Clone3" 5.01783041399904
"26" 5.633479467 "Tyne" "BrandC" "Clone3" 4.68399917962961
"27" 4.613174755 "Tyne" "BrandC" "Clone3" 4.70722305867821
"28" 2.200592859 "Tyne" "BrandD" "Clone1" 4.50261921598576
"29" 2.233799598 "Tyne" "BrandD" "Clone1" 5.17670049332082
"30" 3.357183631 "Tyne" "BrandD" "Clone1" 4.60241125943139
"31" 3.111763697 "Tyne" "BrandD" "Clone2" 4.82889805361629
"32" 4.842597624 "Tyne" "BrandD" "Clone2" 4.97259996784851
"33" 4.36259229 "Tyne" "BrandD" "Clone2" 4.91808436973952
"34" 2.23021006 "Tyne" "BrandD" "Clone3" 4.62176814838313
"35" 3.104322517 "Tyne" "BrandD" "Clone3" 5.09253986156546
"36" 4.762764289 "Tyne" "BrandD" "Clone3" 4.56667311768979
"37" 2.319406055 "Wear" "BrandA" "Clone1" 4.9035453137476
"38" 2.098190677 "Wear" "BrandA" "Clone1" 5.08701407839544
"39" 3.541968991 "Wear" "BrandA" "Clone1" 5.14374536462128
"40" 3.888784107 "Wear" "BrandA" "Clone2" 5.15230455249548
"41" 3.960037772 "Wear" "BrandA" "Clone2" 5.15127752604894
"42" 5.742290286 "Wear" "BrandA" "Clone2" 5.04069848777726
"43" 5.244230091 "Wear" "BrandA" "Clone3" 5.23099461407401
"44" 4.795048308 "Wear" "BrandA" "Clone3" 5.13543629669584
"45" 5.380755443 "Wear" "BrandA" "Clone3" 4.64850119128823
"46" 3.610532158 "Wear" "BrandB" "Clone1" 4.72501578344963
"47" 2.24765071 "Wear" "BrandB" "Clone1" 4.56523490487598
"48" 3.388947185 "Wear" "BrandB" "Clone1" 4.79831392597407
"49" 4.061629942 "Wear" "BrandB" "Clone2" 5.32347740628757
"50" 5.478983004 "Wear" "BrandB" "Clone2" 4.91167031275108
"51" 4.303407161 "Wear" "BrandB" "Clone2" 5.18679894972593
"52" 3.973059861 "Wear" "BrandB" "Clone3" 4.93334861751646
"53" 4.632224111 "Wear" "BrandB" "Clone3" 4.70799732324667
"54" 5.284316226 "Wear" "BrandB" "Clone3" 4.87925931066275
"55" 2.480983544 "Wear" "BrandC" "Clone1" 5.31769723934121
"56" 3.950709949 "Wear" "BrandC" "Clone1" 4.95614379970357
"57" 2.133731304 "Wear" "BrandC" "Clone1" 4.69805155927315
"58" 5.586468488 "Wear" "BrandC" "Clone2" 4.78470089752227
"59" 6.918344272 "Wear" "BrandC" "Clone2" 4.79351058602333
"60" 5.270420973 "Wear" "BrandC" "Clone2" 5.02871072548442
"61" 2.015706722 "Wear" "BrandC" "Clone3" 4.60275984578766
"62" 3.467041808 "Wear" "BrandC" "Clone3" 5.20069969911128
"63" 5.028927385 "Wear" "BrandC" "Clone3" 4.82687864801846
"64" 2.3071735 "Wear" "BrandD" "Clone1" 4.83074655197561
"65" 2.96227354 "Wear" "BrandD" "Clone1" 5.49673808692023
"66" 2.69976154 "Wear" "BrandD" "Clone1" 5.43761544139124
"67" 6.569411852 "Wear" "BrandD" "Clone2" 5.40081718191504
"68" 6.405129788 "Wear" "BrandD" "Clone2" 4.97900727414526
"69" 5.990972601 "Wear" "BrandD" "Clone2" 5.17742026271299
"70" 2.553241161 "Wear" "BrandD" "Clone3" 4.58720688358881
"71" 2.592765531 "Wear" "BrandD" "Clone3" 5.04556472389959
"72" 1.761603478 "Wear" "BrandD" "Clone3" 4.91823063069023
