xcoord	ycoord	type
27	34	seedling
29	34	seedling
20	56	seedling
20	61	seedling
78	66	seedling
25	68	seedling
89	82	seedling
97	96	seedling
253	31	seedling
259	50	seedling
531	35	seedling
533	37	seedling
536	37	seedling
532	40	seedling
529	41	seedling
520	44	seedling
526	44	seedling
529	45	seedling
517	49	seedling
516	60	seedling
578	67	seedling
688	26	rosette
738	25	seedling
739	26	seedling
793	31	rosette
765	97	seedling
831	2	seedling
833	8	seedling
811	12	seedling
826	36	seedling
826	66	seedling
933	24	seedling
939	25	seedling
932	28	seedling
941	49	seedling
940	53	seedling
923	88	seedling
915	90	seedling
1042	8	rosette
1099	12	rosette
1020	33	skeleton
1112	15	rosette
1100	11	seedling
1166	56	rosette
1105	83	seedling
1165	99	seedling
1231	0	skeleton
1280	77	seedling
1235	99	skeleton
1239	90	skeleton
1349	99	skeleton
1361	0	seedling
1412	8	rosette
1453	2	seedling
1426	54	skeleton
1431	99	skeleton
1638	93	skeleton
1622	31	seedling
1763	95	skeleton
1753	99	skeleton
1725	67	skeleton
1716	84	skeleton
1765	66	seedling
1782	54	rosette
1781	52	rosette
1868	91	skeleton
1897	41	skeleton
1858	50	skeleton
1897	60	skeleton
1896	74	skeleton
1848	77	skeleton
1862	81	skeleton
1825	3	rosette
1830	9	seedling
1870	92	skeleton
1990	33	skeleton
1955	68	skeleton
1955	70	skeleton
1953	70	skeleton
1908	83	skeleton
1985	94	skeleton
1992	99	skeleton
1951	68	skeleton
1999	53	skeleton
1914	92	seedling
1988	49	seedling
1996	55	seedling
2078	17	skeleton
2043	64	skeleton
2005	64	skeleton
2067	83	skeleton
2086	93	skeleton
2191	69	skeleton
2206	1	rosette
2254	63	rosette
2204	99	seedling
2335	35	seedling
2372	36	seedling
2375	36	seedling
2384	47	rosette
2367	43	seedling
2333	90	skeleton
2371	99	skeleton
2338	99	seedling
2343	98	seedling
2436	11	seedling
2444	21	rosette
2449	71	rosette
2537	6	rosette
2569	2	rosette
2513	16	seedling
2543	48	skeleton
2533	78	skeleton
2524	82	skeleton
2569	63	regrowth
2587	6	skeleton
2619	24	skeleton
2680	78	seedling
2681	67	seedling
2665	66	seedling
2682	66	seedling
2676	54	seedling
2717	52	regrowth
2789	12	skeleton
2796	32	regrowth
2799	36	skeleton
2724	69	skeleton
2731	72	skeleton
2753	92	skeleton
2748	99	skeleton
2716	89	skeleton
2751	86	skeleton
2799	99	skeleton
2858	62	regrowth
2800	38	skeleton
2810	67	skeleton
2956	13	skeleton
2921	98	rosette
2941	73	seedling
73	117	seedling
61	125	seedling
88	131	seedling
89	132	seedling
88	136	seedling
36	137	seedling
66	138	seedling
71	155	seedling
63	193	seedling
116	143	seedling
131	156	seedling
114	161	seedling
230	105	seedling
229	115	seedling
267	171	seedling
389	155	skeleton
379	144	regrowth
407	136	skeleton
502	134	skeleton
588	100	skeleton
597	199	skeleton
601	191	skeleton
682	135	skeleton
646	199	seedling
680	195	seedling
779	124	seedling
716	161	seedling
789	176	regrowth
736	190	skeleton
926	144	seedling
1003	190	skeleton
1029	198	skeleton
1101	125	skeleton
1189	173	skeleton
1141	143	seedling
1231	175	skeleton
1287	181	skeleton
1277	154	skeleton
1324	147	regrowth
1333	128	skeleton
1379	194	rosette
1379	198	seedling
1421	108	skeleton
1450	122	skeleton
1407	119	skeleton
1453	130	skeleton
1456	130	skeleton
1486	136	skeleton
1454	162	skeleton
1447	173	skeleton
1425	167	seedling
1410	122	seedling
1443	147	seedling
1436	165	seedling
1585	197	seedling
1579	199	seedling
1580	197	seedling
1510	199	seedling
1613	147	skeleton
1686	160	seedling
1683	161	seedling
1690	162	seedling
1681	168	seedling
1696	122	seedling
1763	142	skeleton
1720	176	skeleton
1788	199	skeleton
1763	129	seedling
1704	109	seedling
1858	133	skeleton
1876	135	skeleton
1882	198	skeleton
1860	187	skeleton
1827	178	skeleton
1815	188	skeleton
