year	wheat	barley	oats	rye	corn
1980	5.9	4.4	4.1	3.8	4.4
1981	5.8	4.4	4.3	3.7	4.1
1982	6.2	4.9	4.4	4.1	4.0
1983	6.4	4.7	4.3	3.7	4.1
1984	7.7	5.6	4.9	4.7	4.7
1985	6.3	5.0	4.6	4.6	4.3
1986	7.0	5.2	5.2	4.7	4.3
1987	6.0	5.0	4.6	4.8	4.5
1988	6.2	4.7	4.6	4.6	4.2
1989	6.7	4.9	4.5	4.8	3.8
1990	7.0	5.2	5.0	4.8	4.1
1991	7.3	5.5	5.0	5.7	4.0
1992	6.8	5.7	5.0	4.6	4.4
1993	7.3	5.2	5.2	5.2	4.3
1994	7.4	5.4	5.5	5.9	4.4
1995	7.7	5.7	5.5	5.4	5.0
1996	8.2	6.1	6.1	6.2	4.7
1997	7.4	5.8	5.8	5.6	4.6
1998	7.6	5.3	6.0	4.3	3.4
1999	8.1	5.6	5.9	5.6	4.7
2000	8.0	5.8	5.9	6.1	5.5
2001	7.1	5.3	5.5	4.9	3.9
2002	8.0	5.6	6.0	5.8	4.7
2003	7.8	5.9	6.2	5.8	4.3
2004	7.8	5.8	5.8	5.7	4.3
2005	8.0	5.9	5.8	6.7	4.4
2006	8.0	5.9	6.0	6.1	4.5
2007	7.2	5.7	5.5	5.7	3.9
2008	8.3	6.0	5.8	6.1	4.4
					
